date,hour,location,event,predicted_visitors
2026-01-11,13:00,Main Entrance,Entry,32
2026-01-11,13:00,Elephant Bathing Area,River Observation,36
2026-01-11,13:00,Milk Feeding Nursery,Bottle Feeding,31
2026-01-11,13:00,Museum,General Visit,27
2026-01-11,13:00,Souvenir Shop,Shopping,21
2026-01-11,14:00,Main Entrance,Entry,35
2026-01-11,14:00,Elephant Bathing Area,River Bathing,39
2026-01-11,14:00,Milk Feeding Nursery,Closed,35
2026-01-11,14:00,Museum,General Visit,30
2026-01-11,14:00,Souvenir Shop,Shopping,19
2026-01-11,15:00,Main Entrance,Entry,38
2026-01-11,15:00,Elephant Bathing Area,River Bathing,32
2026-01-11,15:00,Milk Feeding Nursery,Closed,32
2026-01-11,15:00,Museum,General Visit,26
2026-01-11,15:00,Souvenir Shop,Shopping,18
2026-01-11,16:00,Main Entrance,Entry,29
2026-01-11,16:00,Elephant Bathing Area,River Observation,21
2026-01-11,16:00,Milk Feeding Nursery,Closed,21
2026-01-11,16:00,Museum,General Visit,16
2026-01-11,16:00,Souvenir Shop,Shopping,13
2026-01-11,17:00,Main Entrance,Entry,11
2026-01-11,17:00,Elephant Bathing Area,River Observation,6
2026-01-11,17:00,Milk Feeding Nursery,Bottle Feeding,8
2026-01-11,17:00,Museum,General Visit,7
2026-01-11,17:00,Souvenir Shop,Shopping,6
2026-01-12,08:00,Main Entrance,Entry,16
2026-01-12,08:00,Elephant Bathing Area,River Observation,13
2026-01-12,08:00,Milk Feeding Nursery,Closed,12
2026-01-12,08:00,Museum,General Visit,8
2026-01-12,08:00,Souvenir Shop,Shopping,6
2026-01-12,09:00,Main Entrance,Entry,24
2026-01-12,09:00,Elephant Bathing Area,River Observation,15
2026-01-12,09:00,Milk Feeding Nursery,Bottle Feeding,14
2026-01-12,09:00,Museum,General Visit,11
2026-01-12,09:00,Souvenir Shop,Shopping,11
2026-01-12,10:00,Main Entrance,Entry,27
2026-01-12,10:00,Elephant Bathing Area,River Bathing,22
2026-01-12,10:00,Milk Feeding Nursery,Closed,25
2026-01-12,10:00,Museum,General Visit,20
2026-01-12,10:00,Souvenir Shop,Shopping,22
2026-01-12,11:00,Main Entrance,Entry,31
2026-01-12,11:00,Elephant Bathing Area,River Bathing,27
2026-01-12,11:00,Milk Feeding Nursery,Closed,27
2026-01-12,11:00,Museum,General Visit,23
2026-01-12,11:00,Souvenir Shop,Shopping,25
2026-01-12,12:00,Main Entrance,Entry,24
2026-01-12,12:00,Elephant Bathing Area,River Observation,19
2026-01-12,12:00,Milk Feeding Nursery,Closed,18
2026-01-12,12:00,Museum,General Visit,16
2026-01-12,12:00,Souvenir Shop,Shopping,14
2026-01-12,13:00,Main Entrance,Entry,35
2026-01-12,13:00,Elephant Bathing Area,River Observation,19
2026-01-12,13:00,Milk Feeding Nursery,Bottle Feeding,22
2026-01-12,13:00,Museum,General Visit,18
2026-01-12,13:00,Souvenir Shop,Shopping,17
2026-01-12,14:00,Main Entrance,Entry,33
2026-01-12,14:00,Elephant Bathing Area,River Bathing,25
2026-01-12,14:00,Milk Feeding Nursery,Closed,22
2026-01-12,14:00,Museum,General Visit,19
2026-01-12,14:00,Souvenir Shop,Shopping,16
2026-01-12,15:00,Main Entrance,Entry,31
2026-01-12,15:00,Elephant Bathing Area,River Bathing,19
2026-01-12,15:00,Milk Feeding Nursery,Closed,22
2026-01-12,15:00,Museum,General Visit,17
2026-01-12,15:00,Souvenir Shop,Shopping,16
2026-01-12,16:00,Main Entrance,Entry,23
2026-01-12,16:00,Elephant Bathing Area,River Observation,13
2026-01-12,16:00,Milk Feeding Nursery,Closed,13
2026-01-12,16:00,Museum,General Visit,9
2026-01-12,16:00,Souvenir Shop,Shopping,10
2026-01-12,17:00,Main Entrance,Entry,9
2026-01-12,17:00,Elephant Bathing Area,River Observation,6
2026-01-12,17:00,Milk Feeding Nursery,Bottle Feeding,6
2026-01-12,17:00,Museum,General Visit,5
2026-01-12,17:00,Souvenir Shop,Shopping,4
2026-01-13,08:00,Main Entrance,Entry,20
2026-01-13,08:00,Elephant Bathing Area,River Observation,11
2026-01-13,08:00,Milk Feeding Nursery,Closed,10
2026-01-13,08:00,Museum,General Visit,8
2026-01-13,08:00,Souvenir Shop,Shopping,9
2026-01-13,09:00,Main Entrance,Entry,32
2026-01-13,09:00,Elephant Bathing Area,River Observation,16
2026-01-13,09:00,Milk Feeding Nursery,Bottle Feeding,19
2026-01-13,09:00,Museum,General Visit,15
2026-01-13,09:00,Souvenir Shop,Shopping,18
2026-01-13,10:00,Main Entrance,Entry,34
2026-01-13,10:00,Elephant Bathing Area,River Bathing,26
2026-01-13,10:00,Milk Feeding Nursery,Closed,27
2026-01-13,10:00,Museum,General Visit,21
2026-01-13,10:00,Souvenir Shop,Shopping,24
2026-01-13,11:00,Main Entrance,Entry,41
2026-01-13,11:00,Elephant Bathing Area,River Bathing,28
2026-01-13,11:00,Milk Feeding Nursery,Closed,27
2026-01-13,11:00,Museum,General Visit,19
2026-01-13,11:00,Souvenir Shop,Shopping,24
2026-01-13,12:00,Main Entrance,Entry,32
2026-01-13,12:00,Elephant Bathing Area,River Observation,20
2026-01-13,12:00,Milk Feeding Nursery,Closed,23
2026-01-13,12:00,Museum,General Visit,20
2026-01-13,12:00,Souvenir Shop,Shopping,20
2026-01-13,13:00,Main Entrance,Entry,37
2026-01-13,13:00,Elephant Bathing Area,River Observation,32
2026-01-13,13:00,Milk Feeding Nursery,Bottle Feeding,28
2026-01-13,13:00,Museum,General Visit,23
2026-01-13,13:00,Souvenir Shop,Shopping,20
2026-01-13,14:00,Main Entrance,Entry,36
2026-01-13,14:00,Elephant Bathing Area,River Bathing,31
2026-01-13,14:00,Milk Feeding Nursery,Closed,28
2026-01-13,14:00,Museum,General Visit,22
2026-01-13,14:00,Souvenir Shop,Shopping,22
2026-01-13,15:00,Main Entrance,Entry,30
2026-01-13,15:00,Elephant Bathing Area,River Bathing,22
2026-01-13,15:00,Milk Feeding Nursery,Closed,22
2026-01-13,15:00,Museum,General Visit,19
2026-01-13,15:00,Souvenir Shop,Shopping,20
2026-01-13,16:00,Main Entrance,Entry,20
2026-01-13,16:00,Elephant Bathing Area,River Observation,18
2026-01-13,16:00,Milk Feeding Nursery,Closed,17
2026-01-13,16:00,Museum,General Visit,12
2026-01-13,16:00,Souvenir Shop,Shopping,9
2026-01-13,17:00,Main Entrance,Entry,9
2026-01-13,17:00,Elephant Bathing Area,River Observation,8
2026-01-13,17:00,Milk Feeding Nursery,Bottle Feeding,6
2026-01-13,17:00,Museum,General Visit,5
2026-01-13,17:00,Souvenir Shop,Shopping,3
2026-01-14,08:00,Main Entrance,Entry,14
2026-01-14,08:00,Elephant Bathing Area,River Observation,10
2026-01-14,08:00,Milk Feeding Nursery,Closed,8
2026-01-14,08:00,Museum,General Visit,7
2026-01-14,08:00,Souvenir Shop,Shopping,6
2026-01-14,09:00,Main Entrance,Entry,23
2026-01-14,09:00,Elephant Bathing Area,River Observation,19
2026-01-14,09:00,Milk Feeding Nursery,Bottle Feeding,19
2026-01-14,09:00,Museum,General Visit,14
2026-01-14,09:00,Souvenir Shop,Shopping,17
2026-01-14,10:00,Main Entrance,Entry,32
2026-01-14,10:00,Elephant Bathing Area,River Bathing,22
2026-01-14,10:00,Milk Feeding Nursery,Closed,23
2026-01-14,10:00,Museum,General Visit,19
2026-01-14,10:00,Souvenir Shop,Shopping,21
2026-01-14,11:00,Main Entrance,Entry,31
2026-01-14,11:00,Elephant Bathing Area,River Bathing,29
2026-01-14,11:00,Milk Feeding Nursery,Closed,26
2026-01-14,11:00,Museum,General Visit,25
2026-01-14,11:00,Souvenir Shop,Shopping,24
2026-01-14,12:00,Main Entrance,Entry,26
2026-01-14,12:00,Elephant Bathing Area,River Observation,21
2026-01-14,12:00,Milk Feeding Nursery,Closed,21
2026-01-14,12:00,Museum,General Visit,18
2026-01-14,12:00,Souvenir Shop,Shopping,15
2026-01-14,13:00,Main Entrance,Entry,29
2026-01-14,13:00,Elephant Bathing Area,River Observation,26
2026-01-14,13:00,Milk Feeding Nursery,Bottle Feeding,25
2026-01-14,13:00,Museum,General Visit,22
2026-01-14,13:00,Souvenir Shop,Shopping,20
2026-01-14,14:00,Main Entrance,Entry,28
2026-01-14,14:00,Elephant Bathing Area,River Bathing,32
2026-01-14,14:00,Milk Feeding Nursery,Closed,27
2026-01-14,14:00,Museum,General Visit,22
2026-01-14,14:00,Souvenir Shop,Shopping,19
2026-01-14,15:00,Main Entrance,Entry,29
2026-01-14,15:00,Elephant Bathing Area,River Bathing,21
2026-01-14,15:00,Milk Feeding Nursery,Closed,21
2026-01-14,15:00,Museum,General Visit,15
2026-01-14,15:00,Souvenir Shop,Shopping,11
2026-01-14,16:00,Main Entrance,Entry,21
2026-01-14,16:00,Elephant Bathing Area,River Observation,14
2026-01-14,16:00,Milk Feeding Nursery,Closed,15
2026-01-14,16:00,Museum,General Visit,11
2026-01-14,16:00,Souvenir Shop,Shopping,9
2026-01-14,17:00,Main Entrance,Entry,7
2026-01-14,17:00,Elephant Bathing Area,River Observation,6
2026-01-14,17:00,Milk Feeding Nursery,Bottle Feeding,5
2026-01-14,17:00,Museum,General Visit,4
2026-01-14,17:00,Souvenir Shop,Shopping,4
